Id;Pr;N;P;K;Ca;Mg;S;Fe;Mn;Cu;Zn;B
1;23.9;2.33;0.17;0.11;3.4;0.35;0.45;112;549;9;19;18
2;12;2.2;0.16;0.1;2.31;0.25;0.95;101;358;7;19;20
